-9,48923300927935
-9,07536064231552
-8,89970955387676
-8,85031027665842
-8,77335051948826
-8,36127500904783
-7,64822224045555
-6,87223272252466
-6,52420639829906
-6,01547471993392
-5,92051042985195
-5,84440703310278
-5,0780973746805
-4,98161899623536
-4,41185797304467
-2,30508688478968
-1,52298673592647
-1,38412690320244
-1,28850833107182
-1,22574859821505
0,0969805056680819
1,22852718049126
1,82994953907558
2,02175141871988
2,91100859311922
4,30465141046078
4,46087305176112
4,60363883273845
4,93594179625434
5,00262242509174
5,03813918448898
5,31668682364593
6,09187663350807
6,42063830812491
6,52444121265991
6,57550084245182
7,82966260697211
8,1488369582914
9,23863335477125
9,5435258185228
